id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000398,57-OJ-37,Peugeot,3008,SUV,5,2020,Gasóleo,70000,11500,2024-05-26,13400,2024-10-12,Lisboa
V000399,53-PX-77,Peugeot,3008,SUV,5,2021,Gasolina,56000,13000,2024-05-02,14000,2024-09-19,Lisboa
V000400,15-VT-21,Volkswagen,Golf,Hatchback,5,2017,Híbrido a Gasolina,79000,8200,2024-05-04,8700,2024-06-14,Lisboa
V000401,34-JI-78,Nissan,Leaf,Elétrico,5,2018,100% Elétrico,89000,8500,2024-05-04,9300,2024-07-08,Lisboa
V000402,44-EW-46,Seat,Ibiza,Citadino,5,2020,Gasolina,65000,6500,2024-05-05,7300,2024-08-14,Lisboa
V000403,16-DM-16,Peugeot,3008,SUV,5,2020,Gasóleo,45000,12900,2024-05-29,,,Lisboa
V000404,95-ZR-20,Renault,Clio,Citadino,5,2018,GPL,106000,5100,2024-05-29,5900,2024-09-03,Lisboa
V000405,38-ET-43,Tesla,Model 3,Elétrico,5,2020,100% Elétrico,48000,22200,2024-05-15,24800,2024-09-23,Lisboa
V000406,71-OF-46,Renault,Clio,Citadino,5,2020,GPL,73000,6200,2024-05-22,6700,2024-10-02,Lisboa
V000407,61-SN-40,Peugeot,208,Citadino,5,2020,Gasolina,58000,8200,2024-05-04,9200,2024-08-01,Lisboa
V000408,53-RW-40,Fiat,500,Citadino,4,2023,Híbrido a Gasolina,37000,11500,2024-05-13,13000,2024-09-13,Lisboa
V000409,32-JM-18,Mercedes,Classe A,Hatchback,5,2018,Híbrido a Gasolina,77000,10500,2024-05-23,12200,2024-06-28,Lisboa
V000410,91-ZA-28,Mercedes,Classe A,Hatchback,5,2019,Gasolina,87000,9800,2024-05-27,11400,2024-07-13,Lisboa
V000411,65-WL-21,Seat,Ibiza,Citadino,5,2017,Gasolina,100000,5000,2024-05-20,5900,2024-08-17,Lisboa
V000412,10-WR-55,BMW,Série 1,Hatchback,5,2021,Gasolina,41000,14600,2024-05-28,,,Lisboa
